msg_id,role,content
60,user,"I'm unable to connect my social media accounts to my profile."
61,user,"Your app has helped me become so much more productive. Thank you!"
62,user,"Why does the app need access to my contacts to function?"
63,user,"The captcha verification keeps failing no matter what I try."
64,user,"I need to download my tax receipts for business expenses."
65,user,"Have a great weekend!"
66,user,"The new update completely changed the layout and now I can't find anything."
67,user,"What's the difference between archiving and deleting messages?"
68,user,"I keep getting logged out randomly while using the app."
69,user,"How frequently do you release new content updates?"
70,user,"Can I transfer my subscription to a different email address?"
71,user,"The automated email responses aren't addressing my specific issue."
72,user,"I think someone has gained unauthorized access to my account."
73,user,"Is there a limit to how many projects I can create on the free tier?"
74,user,"Why am I seeing ads even though I have a premium subscription?"
75,user,"The confirmation email for my order never arrived."
76,user,"Your website doesn't work properly on Internet Explorer."
77,user,"I'm impressed with how quickly you've implemented user feedback."
78,user,"How do I add additional users to my business account?"
79,user,"The password requirements are excessive and making it hard to sign up."
80,user,"Can I pay annually instead of monthly to save money?"
81,user,"I'm having trouble connecting the app to my smart home system."
82,user,"The text-to-speech feature pronounces many words incorrectly."
83,user,"Will you be offering Black Friday discounts this year?"
84,user,"How do I enable notifications for only important updates?"
85,user,"I need help setting up my company profile on your platform."
86,user,"The statistics dashboard isn't showing accurate numbers."
87,user,"Thank you for the birthday discount code!"
88,user,"Is there a way to recover deleted messages from last week?"
89,user,"Can I use your service without creating an account?"
90,user,"The background music in the app is distracting and can't be turned off."
91,user,"How do I report inappropriate content from other users?"
92,user,"I'm excited about the upcoming features mentioned in your newsletter!"
93,user,"My subscription renewed automatically even though I tried to cancel."
94,user,"What's the best way to organize large collections of files?"
95,user,"The app is using too much battery on my phone."
96,user,"How often do you back up user data on your servers?"
97,user,"I can't find the option to download my activity history."
98,user,"Your marketing emails are coming too frequently. How do I reduce them?"
99,user,"The voice recognition feature doesn't understand my accent."
100,user,"I need to generate an invoice for my recent purchases."
101,user,"Why doesn't your app work with my device? It meets the minimum requirements."
102,user,"The auto-correct feature is changing important technical terms incorrectly."
103,user,"How do I link multiple calendars to my account?"
104,user,"I appreciate the quick fix for the login issue yesterday."
105,user,"Can I schedule posts to be published automatically?"
106,user,"The tutorial videos buffer constantly even on high-speed internet."
107,user,"I'm getting error code 503 when trying to access my dashboard."
108,user,"What's your policy on data privacy and third-party sharing?"
109,user,"How can I customize the sorting options for my content feed?"
110,user,"The predictions feature has been incredibly accurate. Great job!"
111,user,"I need to print a physical copy of my certificate. How do I do that?"
112,user,"Why does the app need to run in the background constantly?"
113,user,"Can you recommend settings for optimal performance on older devices?"
114,user,"The verification email is taking too long to arrive."
115,user,"I'm unable to see other users' profiles even though I'm connected to them."
116,user,"How do I enable offline mode for traveling?"
117,user,"The charts in the analytics section are not rendering correctly."
118,user,"Your product has completely transformed how our team collaborates!"
119,user,"Is there a way to bulk upload multiple files at once?"
120,user,"The location tagging feature is showing incorrect information." 
